method,seq_length,detection_rate,std,ci95
GuardMark (ours),50,0.694,0.0409,0.0146
GuardMark (ours),100,0.6553,0.0381,0.0136
GuardMark (ours),200,0.6677,0.0387,0.0138
GuardMark (ours),300,0.7073,0.048,0.0172
GuardMark (ours),500,0.7017,0.0427,0.0153
GuardMark (ours),750,0.6863,0.0462,0.0165
GuardMark (ours),1000,0.7223,0.0445,0.0159
KGW-Watermark [6],50,0.344,0.0465,0.0166
KGW-Watermark [6],100,0.3887,0.0457,0.0164
KGW-Watermark [6],200,0.3813,0.0502,0.018
KGW-Watermark [6],300,0.356,0.0418,0.015
KGW-Watermark [6],500,0.3507,0.0479,0.0171
KGW-Watermark [6],750,0.3883,0.052,0.0186
KGW-Watermark [6],1000,0.37,0.0455,0.0163
Zhao et al. [7],50,0.2703,0.0404,0.0144
Zhao et al. [7],100,0.2627,0.0334,0.0119
Zhao et al. [7],200,0.236,0.0329,0.0118
Zhao et al. [7],300,0.2583,0.0379,0.0136
Zhao et al. [7],500,0.2557,0.043,0.0154
Zhao et al. [7],750,0.2473,0.0414,0.0148
Zhao et al. [7],1000,0.2573,0.0449,0.0161
EWD [8],50,0.0853,0.0205,0.0073
EWD [8],100,0.0857,0.0284,0.0102
EWD [8],200,0.09,0.0267,0.0096
EWD [8],300,0.0973,0.0266,0.0095
EWD [8],500,0.0997,0.0287,0.0103
EWD [8],750,0.0923,0.0294,0.0105
EWD [8],1000,0.0897,0.0194,0.0069
