size_M,method,mean_pct,ci95
125,GuardMark,3.711,0.121
125,KGW,6.433,0.091
125,Zhao,8.147,0.098
125,EWD,9.99,0.087
350,GuardMark,3.762,0.11
350,KGW,6.544,0.075
350,Zhao,8.46,0.053
350,EWD,10.266,0.127
750,GuardMark,3.867,0.075
750,KGW,6.75,0.107
750,Zhao,8.506,0.095
750,EWD,10.49,0.068
1300,GuardMark,3.958,0.117
1300,KGW,6.836,0.1
1300,Zhao,8.623,0.077
1300,EWD,10.482,0.122
2700,GuardMark,3.988,0.106
2700,KGW,7.09,0.083
2700,Zhao,8.813,0.1
2700,EWD,10.789,0.083
7000,GuardMark,4.177,0.088
7000,KGW,7.236,0.083
7000,Zhao,9.041,0.074
7000,EWD,11.076,0.074
13000,GuardMark,4.184,0.094
13000,KGW,7.385,0.113
13000,Zhao,9.218,0.071
13000,EWD,11.261,0.122
